VISDATA
46
0 0
1 11  4 5 3 8 11 12 17 21 22 23 25 
2 0
3 11  8 1 5 11 12 4 17 21 22 23 25 
4 11  8 1 11 12 3 5 17 21 22 23 25 
5 11  8 1 11 3 12 4 17 21 22 23 25 
6 0
7 0
8 11  4 11 12 5 3 1 17 21 22 23 25 
9 0
10 0
11 11  8 17 5 4 3 12 21 1 22 23 25 
12 11  17 8 5 21 4 11 3 22 1 23 25 
13 0
14 0
15 0
16 0
17 11  21 22 12 11 23 8 25 5 4 3 1 
18 0
19 0
20 0
21 11  17 23 25 12 22 11 8 5 4 3 1 
22 11  17 25 23 21 12 11 8 5 4 3 1 
23 11  21 25 17 22 12 11 8 5 4 3 1 
24 0
25 11  23 22 21 17 12 11 8 5 4 3 1 
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
